ts_utc,market,team,price,bid,ask,last_trade,volume,liquidity,closed
2026-06-12T11:39:29+00:00,outright,Spain,0.1695,0.169,0.17,0.17,40269661.93395538,6251540.64865,False
2026-06-12T11:39:29+00:00,outright,New Zealand,0.0005,,0.001,0.001,45666904.73264519,19536119.48619,False
2026-06-12T11:39:29+00:00,outright,Switzerland,0.0135,0.013,0.014,0.013,42300095.56929576,1989417.84175,False
2026-06-12T11:39:29+00:00,outright,England,0.1045,0.104,0.105,0.105,34795275.854177214,6878486.17158,False
2026-06-12T11:39:29+00:00,outright,France,0.1605,0.16,0.161,0.161,46414754.698023126,6670224.60216,False
2026-06-12T11:39:29+00:00,outright,South Korea,0.0045,0.004,0.005,0.004,61125058.7082328,3209166.16089,False
2026-06-12T11:39:29+00:00,outright,Haiti,0.0005,,0.001,0.001,32251394.821820088,19298584.8922,False
2026-06-12T11:39:29+00:00,outright,Brazil,0.0845,0.084,0.085,0.085,36468831.18997975,6579964.16679,False
2026-06-12T11:39:29+00:00,outright,Jordan,0.0005,,0.001,0.001,31858403.821882773,19343160.6228,False
2026-06-12T11:39:29+00:00,outright,Curaçao,0.0005,,0.001,0.001,42158912.22691622,18911832.06279,False
2026-06-12T11:39:29+00:00,outright,Argentina,0.0875,0.087,0.088,0.087,37309960.739208974,6003613.47302,False
2026-06-12T11:39:29+00:00,outright,Germany,0.0515,0.051,0.052,0.051,39706472.92477998,2067156.11466,False
2026-06-12T11:39:29+00:00,outright,Colombia,0.0175,0.017,0.018,0.017,44795999.02925227,4198416.63899,False
2026-06-12T11:39:29+00:00,outright,Iran,0.0015,0.001,0.002,0.001,49039205.46778998,10981686.58511,False
2026-06-12T11:39:29+00:00,outright,Portugal,0.1085,0.108,0.109,0.109,42456661.79816397,5424454.70557,False
2026-06-12T11:39:29+00:00,outright,Ghana,0.0015,0.001,0.002,0.001,40384809.23444194,15062388.71508,False
2026-06-12T11:39:29+00:00,outright,Netherlands,0.0445,0.044,0.045,0.045,41945170.489608616,2574165.72804,False
2026-06-12T11:39:29+00:00,outright,Algeria,0.0015,0.001,0.002,0.001,47244204.38021553,10061323.91358,False
